OID_,ORIG_FID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,POINT_X,POINT_Y
145,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.899174999726426,40.295432000286610
146,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.898996083202633,40.297065711413495
147,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.898843790208730,40.298702162774646
148,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.898671352400982,40.300336308274041
149,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.898173698157620,40.301899897462363
150,31,110479897474,Logan St,M,S1400,0.008217828305476,-76.897675999847479,40.303466000255753
151,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896923000196239,40.295267999918337
152,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896902878764820,40.295384702242245
153,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896886326742560,40.295501910884525
154,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896873218224414,40.295619606959349
155,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896860108806948,40.295737303933493
156,32,1102169839570,Agnes St,M,S1400,0.000592121223360,-76.896847000288801,40.295855000008316
157,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900744000135433,40.306734999920366
158,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900600764213834,40.307218966482196
159,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900457528292236,40.307702933043970
160,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900314293269957,40.308186899605801
161,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900171057348359,40.308670866167574
162,33,1102169902737,River St,M,S1400,0.002523589749760,-76.900051999699997,40.309161000279971
163,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.904478999706043,40.298498999629203
164,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.903642759705576,40.300583380818409
165,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.902904320977598,40.302704662090548
166,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.902175504995512,40.304829273552173
167,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.901517478248991,40.306976797041614
168,35,1104474139248,Front St,M,S1400,0.011232030213238,-76.900628000181996,40.308982000119272
169,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.904514999567539,40.295730999685929
170,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.904032765999318,40.295703698067257
171,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.903551009971068,40.295670987026483
172,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.903068565961519,40.295647722464480
173,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.902586349480430,40.295620127666837
174,36,110479899225,Graham St,M,S1400,0.002415028187925,-76.902103999899623,40.295594999709522
175,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894779000250651,40.297037999704003
176,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894730926990633,40.297403720705177
177,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894693774198288,40.297770720542360
178,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894664090275512,40.298138367891397
179,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894621925561353,40.298504781370639
180,37,110479897567,Marie Aly,M,S1400,0.001844375943415,-76.894587000389720,40.298871999743028
181,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896672000312549,40.299018000180638
182,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896668000128045,40.299049999857687
183,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896663999943598,40.299082000433998
184,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896660000658471,40.299114000111047
185,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896656000474024,40.299146000687415
186,38,1102169831807,Crum St,M,S1400,0.000161245340228,-76.896652000289521,40.299178000364464
187,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896652000289521,40.299178000364464
188,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896640947621620,40.299262408933089
189,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896630230400774,40.299346861568438
190,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896619514079248,40.299431314203844
191,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896595813346096,40.299512541870342
192,39,1102302569787,Crum Aly,M,S1400,0.000425647633637,-76.896568000013133,40.299592999717220
193,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.899889000277085,40.295480999848337
194,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.898615363308352,40.295390893175238
195,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.897341965559235,40.295297515667869
196,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.896068207181997,40.295209180659185
197,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.894793660998630,40.295134600781239
198,40,110479899226,Graham St,M,S1400,0.006384137119668,-76.893528000117101,40.295112999965056
199,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.895274999741389,40.293372999764188
200,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.894967156409109,40.293395026859059
201,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.894659394915095,40.293418186200370
202,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.894351581260423,40.293440617090880
203,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.894043790088801,40.293463297992844
204,42,110479904571,Woodland St,M,S1400,0.001543160361295,-76.893735999816499,40.293485999579275
205,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.902440000105855,40.304301000091129
206,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.901097064078215,40.304072580385309
207,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.899755960868845,40.303833679980414
208,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.898415159831700,40.303593051078508
209,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.897072695048792,40.303361915420112
210,45,110479904299,Montrose St,M,S1400,0.006811123620359,-76.895728999993310,40.303138000418414
211,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.897675999847479,40.303466000255753
212,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.897525069326434,40.303987593552677
213,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.897374138805446,40.304509186849543
214,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.897223208284402,40.305030780146467
215,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.897066457351116,40.305550643147740
216,46,1102169902529,Logan Ave,M,S1400,0.002714956665946,-76.896908000403869,40.306069999830697
217,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895973999600358,40.295429000148317
218,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895846306661667,40.296114454418614
219,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895783350521185,40.296820534640005
220,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895726552938015,40.297527183232944
221,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895654968701820,40.298232402803194
222,48,110479894973,Kemp Aly,M,S1400,0.003544809587857,-76.895567999763330,40.298935999996445
223,49,1102303370984,Edward St,M,S1400,0.000959700921513,-76.896289999783619,40.296566000420626
